question_id,card_key,link_type,display_mode,auto_show_as_primary,needs_human_review,precision,score,current_law_status,current_law_can_auto_score,current_law_answer,matched_terms,matched_terms_in_statement,assunto,reason,warning
2024886,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,204,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares; conducao de escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
2072191,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,escolares; conducao de escolares,escolares,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
2465558,ctb_escolares,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,218,not_applicable_or_not_outdated,,,escolares; conducao de escolares; categoria d; curso especializado,curso especializado,Da Condução de Escolares e de Moto-Frete (arts. 136 a 139-B da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
382775,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,216,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional,descanso; motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
545332,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,216,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional,tempo de direcao; descanso,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
778180,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,240,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional; registrador instantaneo; disco diagrama,registrador instantaneo; disco diagrama,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
937559,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,182,not_applicable_or_not_outdated,,,motorista profissional,motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1107057,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,182,not_applicable_or_not_outdated,,,motorista profissional,motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1221826,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,226,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional,tempo de direcao; descanso; motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1578000,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,226,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional,tempo de direcao; descanso; motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1609821,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,182,not_applicable_or_not_outdated,,,descanso,descanso,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1701328,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,motorista profissional; registrador instantaneo,registrador instantaneo,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1944571,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,182,not_applicable_or_not_outdated,,,descanso,descanso,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
2149162,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,226,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional,tempo de direcao; descanso; motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
2451499,ctb_motorista_profissional_descanso,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,216,not_applicable_or_not_outdated,,,tempo de direcao; descanso; motorista profissional,descanso; motorista profissional,Da Condução de Veículos por Motoristas Profissionais (arts. 67-A a 67-E da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28072,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,216,not_applicable_or_not_outdated,,,cnh; permissao para dirigir; habilitado,cnh; permissao para dirigir; habilitado,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28106,ctb_documentos_cnh_porte,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,174,not_applicable_or_not_outdated,,,cnh; renach,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
28107,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,194,not_applicable_or_not_outdated,,,cnh; permissao para dirigir,cnh; permissao para dirigir,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28109,subject_overview::da-habilitacao-arts-140-a-160-da-lei-n-9-503-1997,subject_overview_fallback,general_orientation_only,False,False,downgraded_weak_evidence,50,not_applicable_or_not_outdated,,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.,
28210,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,196,not_applicable_or_not_outdated,,,curso; exame; aptidao fisica,exame; aptidao fisica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28212,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,172,not_applicable_or_not_outdated,,,cnh,cnh,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28213,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,exame; aptidao fisica,exame; aptidao fisica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28214,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,cnh; permissao para dirigir,cnh; permissao para dirigir,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
28215,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,184,not_applicable_or_not_outdated,,,cnh; permissao para dirigir,cnh,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
303964,ctb_habilitacao_categorias,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,174,not_applicable_or_not_outdated,,,categoria b; categoria c,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
363330,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,194,not_applicable_or_not_outdated,,,categoria b; categoria c,categoria b; categoria c,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
657484,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,232,not_applicable_or_not_outdated,,,categoria a; categoria b; categoria c; categoria d; categoria e; combinacao de veiculos,categoria d,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
732066,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,272,not_applicable_or_not_outdated,,,categoria a; categoria b; categoria c; categoria d; categoria e; combinacao de veiculos,categoria a; categoria b; categoria c; categoria d; categoria e,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
840840,ctb_habilitacao_permissao_pontos,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,186,not_applicable_or_not_outdated,,,permissao para dirigir; ppd; cnh definitiva,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
960487,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,162,not_applicable_or_not_outdated,,,exame,exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1028949,subject_overview::da-habilitacao-arts-140-a-160-da-lei-n-9-503-1997,subject_overview_fallback,general_orientation_only,False,False,downgraded_weak_evidence,50,not_applicable_or_not_outdated,,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo específico rebaixado: a evidência era genérica/fraca. Exibir apenas panorama do assunto até revisão humana.,
1186390,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,curso; exame,curso; exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1326075,contran_789_1020_formacao_condutores,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,172,not_applicable_or_not_outdated,,,candidato,candidato,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1403550,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,232,not_applicable_or_not_outdated,,,categoria a; categoria b; categoria c; categoria d; categoria e; combinacao de veiculos,categoria b,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1403555,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,220,not_applicable_or_not_outdated,,,categoria b; categoria c; categoria d; categoria e; combinacao de veiculos,categoria e,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1403562,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,208,not_applicable_or_not_outdated,,,categoria b; categoria c; categoria d; categoria e,categoria d,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1490474,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,196,not_applicable_or_not_outdated,,,categoria c; categoria e; combinacao de veiculos,categoria c,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1490477,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,172,not_applicable_or_not_outdated,,,categoria a,categoria a,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1490485,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,206,not_applicable_or_not_outdated,,,categoria a; categoria b; categoria d,categoria a; categoria d,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1490486,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,218,not_applicable_or_not_outdated,,,cnh; permissao para dirigir; porte do documento de habilitacao; habilitado,cnh; permissao para dirigir,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1500077,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,282,not_applicable_or_not_outdated,,,categoria a; categoria b; categoria c; categoria d; categoria e; combinacao de veiculos,categoria a; categoria b; categoria c; categoria d; categoria e; combinacao de veiculos,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521266,ctb_habilitacao_categorias,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,198,not_applicable_or_not_outdated,,,categoria b; categoria c; categoria d; categoria e,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
1521267,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,exame; aptidao fisica,exame; aptidao fisica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521268,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,exame; aptidao fisica,exame; aptidao fisica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521269,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,False,True,ambiguous_top_candidate,184,not_applicable_or_not_outdated,,,exame; aptidao fisica,exame; aptidao fisica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521270,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,206,not_applicable_or_not_outdated,,,exame; aptidao fisica; avaliacao psicologica,exame; aptidao fisica; avaliacao psicologica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521271,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,206,not_applicable_or_not_outdated,,,exame; aptidao fisica; avaliacao psicologica,exame; aptidao fisica; avaliacao psicologica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521272,ctb_habilitacao_categorias,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,162,not_applicable_or_not_outdated,,,categoria c,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
1521273,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,162,not_applicable_or_not_outdated,,,exame,exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521274,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,curso; exame,curso; exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521275,ctb_documentos_cnh_porte,specific_high_precision,suggested_card_needs_review,False,True,comment_or_subject_evidence_only,162,not_applicable_or_not_outdated,,,cnh,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão. Termos fortes não apareceram no enunciado/alternativas; não exibir automaticamente no modo Estudar agora.,
1521276,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,172,not_applicable_or_not_outdated,,,renach,renach,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1521277,ctb_documentos_cnh_porte,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,194,not_applicable_or_not_outdated,,,porte do documento de habilitacao; habilitado,porte do documento de habilitacao; habilitado,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1525662,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,206,not_applicable_or_not_outdated,,,exame; aptidao fisica; avaliacao psicologica,exame; aptidao fisica; avaliacao psicologica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1525687,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,exame; aptidao fisica,exame; aptidao fisica,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1525688,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,162,not_applicable_or_not_outdated,,,exame,exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1525689,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,curso; exame,curso; exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1569404,ctb_habilitacao_curso_reciclagem,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,162,not_applicable_or_not_outdated,,,exame,exame,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1572378,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,196,not_applicable_or_not_outdated,,,categoria b; categoria c; categoria d,categoria c,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
1573565,subject_overview::da-habilitacao-arts-140-a-160-da-lei-n-9-503-1997,subject_overview_fallback,general_orientation_only,False,False,fallback_by_assunto,50,not_applicable_or_not_outdated,,,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),"Sem evidência suficiente para microcard específico. Exibir apenas como panorama do assunto, nunca como regra que resolve a questão.",
1576571,ctb_habilitacao_categorias,specific_high_precision,rule_that_solves_or_clarifies_question,True,False,strict,184,not_applicable_or_not_outdated,,,categoria a; categoria b,categoria a,Da Habilitação (arts. 140 a 160 da Lei nº 9.503/1997),Vínculo por assunto + termos do enunciado/alternativas/comentário. Exibir como card principal somente se importador aceitar score e revisão.,
