exam_key,year,exam_label,phase,item,classification,primary_norm_at_exam,secondary_norms_at_exam,edital_2021_equivalent_norm,topic_id,tema_especifico,current_norm_reference,confidence,notes
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,66,resolucao_contran,Resolução CONTRAN 561/2015,,561/2015,mbft_infracao_concomitante,MBFT; infração concomitante,Resolução CONTRAN 985/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,67,resolucao_contran,Resolução CONTRAN 740/2018,,740/2018,pnatrans,PNATRANS; pilares; mobilidade e engenharia,Resolução CONTRAN 1004/2023,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,68,resolucao_contran,Resolução CONTRAN 508/2014,,508/2014,transporte_passageiro_carga_misto,Transporte de passageiros em veículo de carga ou misto a título precário,"Resolução CONTRAN 508/2014, verificar alterações",alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,69,resolucao_contran,Resolução CONTRAN 667/2017,,667/2017,iluminacao_sinalizacao_veicular,Lanternas especiais de emergência; luz azul; veículos de urgência,Resolução CONTRAN 970/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,70,resolucao_contran,Resolução CONTRAN 216/2006,,216/2006,vidros_para_brisa_trincas,Para-brisa; trincas; fratura circular; limites normativos,Resolução CONTRAN 960/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,71,resolucao_contran,Resolução CONTRAN 92/1998-1999,,92/1998,cronotacografo,Registrador instantâneo e inalterável de velocidade e tempo; tempo de movimentação/interrupções,Resolução CONTRAN 938/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,72,resolucao_contran,Resolução CONTRAN 92/1998-1999,,92/1998,cronotacografo,Fiscalização do disco/fita-diagrama; identificação e assinatura do agente,Resolução CONTRAN 938/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,73,resolucao_contran,Resolução CONTRAN 92/1998-1999,,92/1998,cronotacografo,Prazo de disponibilidade de informações do registrador em caso de acidente,Resolução CONTRAN 938/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,74,resolucao_contran,Resolução CONTRAN 210/2006,,210/2011,peso_dimensoes,Limites de peso e dimensões; largura máxima,Resolução CONTRAN 882/2021,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,75,resolucao_contran,Resolução CONTRAN 210/2006,Resolução CONTRAN 211/2006; Resolução CONTRAN 520/2015,210/2011,peso_dimensoes,Combinação de veículos de carga; número de unidades; PBT/PBTC,Resolução CONTRAN 882/2021,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,76,resolucao_contran,Resolução CONTRAN 210/2006,,210/2011,peso_dimensoes,Comprimento máximo para veículo não articulado,Resolução CONTRAN 882/2021,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,77,resolucao_contran,Resolução CONTRAN 525/2015,,525/2015,tempo_direcao_descanso,Fiscalização do tempo de direção e descanso; diário de bordo; papeleta; ficha externa,Resolução CONTRAN 525/2015,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,78,resolucao_contran,Resolução CONTRAN 525/2015,,525/2015,tempo_direcao_descanso,Tempo máximo ininterrupto de direção; veículo de carga acima de 4.536 kg,Resolução CONTRAN 525/2015,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,79,resolucao_contran,Resolução CONTRAN 525/2015,Resolução CONTRAN 92/1998-1999,525/2015,tempo_direcao_descanso,Responsabilidade pela guarda/proteção/precisão das informações do registrador,Resolução CONTRAN 525/2015; cronotacógrafo na Resolução CONTRAN 938/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,80,resolucao_contran,Resolução CONTRAN 806/2020,,806/2020,campanha_educativa_2021,Slogan da campanha educativa de trânsito de 2021,Tema anual; não usar norma atual fixa sem calendário do edital,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,81,resolucao_contran,Resolução CONTRAN 803/2020,,803/2020,excesso_peso_transbordo,Excesso de peso; dispensa de remanejamento/transbordo para perecíveis e cargas vivas,Resolução CONTRAN 882/2021,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,82,resolucao_contran,Resolução CONTRAN 803/2020,,803/2020,excesso_peso_transbordo,Fiscalização de peso por balança; tolerância por eixo,Resolução CONTRAN 882/2021,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,83,resolucao_contran,Resolução CONTRAN 552/2015,,552/2015,amarracao_cargas,Amarração de cargas; proibição de cordas; uso para lona,Resolução CONTRAN 945/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,84,resolucao_contran,Resolução CONTRAN 552/2015,,552/2015,amarracao_cargas,Pontos de amarração; fixação no chassi,Resolução CONTRAN 945/2022,alta,
prf_2021_objetiva,2021,PRF 2021 - prova objetiva do concurso público - Edital nº 1/2021,primeira_etapa_objetiva,85,resolucao_contran,Resolução CONTRAN 552/2015,,552/2015,amarracao_cargas,"Cintas, correntes ou cabos de aço; resistência mínima à ruptura",Resolução CONTRAN 945/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,51,CTB/lei correlata,CTB,,,ctb_lei,Crime de trânsito: disputa automobilística/manobra arriscada; risco à incolumidade pública,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,52,CTB/lei correlata,CTB,,,ctb_lei,Crime de trânsito: disputa automobilística com lesão grave; espécie de pena,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,53,CTB/lei correlata,CTB,,,ctb_lei,Lesão corporal culposa no trânsito; investigação/procedimento,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,54,CTB/lei correlata,CTB,,,ctb_lei,Omissão de socorro no trânsito; terceiro prestou apoio,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,55,CTB/lei correlata,CTB,,,ctb_lei,Violação de suspensão para dirigir; crime de trânsito e penas,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,56,CTB/lei correlata,CTB,,,ctb_lei,Homicídio culposo na direção; causas de aumento; suspensão da habilitação,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,57,CTB/lei correlata,CTB,,,ctb_lei,Agravantes em crime de trânsito; veículo sem placas; categoria diversa,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,58,CTB/lei correlata,CTB,,,ctb_lei,Entregar direção a não habilitado; perigo de dano,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,59,CTB/lei correlata,CTB,,,ctb_lei,Dirigir sem habilitação; perigo de dano,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,60,CTB/lei correlata,CTB,,,ctb_lei,CNH vencida há mais de 30 dias; multa/recolhimento/remoção,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,61,CTB/lei correlata,CTB,,,ctb_lei,Dirigir sem cinto; retenção até regularização,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,62,CTB/lei correlata,CTB,,,ctb_lei,Ultrapassagem pelo acostamento; multa/retenção/remoção,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,63,CTB/lei correlata,CTB,,,ctb_lei,Estacionamento afastado da guia; multa/remoção,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,64,CTB/lei correlata,CTB,,,ctb_lei,Veículo produzindo fumaça acima do permitido; infração/crime,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,65,CTB/lei correlata,CTB,,,ctb_lei,Acesso de concessionária à pontuação do motorista empregado,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,66,CTB/lei correlata,CTB,,,ctb_lei,Multa em veículo licenciado no exterior,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,67,CTB/lei correlata,CTB,,,ctb_lei,Velocidade em rodovia de pista dupla rural,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,68,CTB/lei correlata,CTB,,,ctb_lei,Ordem de prevalência da sinalização de trânsito,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,69,CTB/lei correlata,CTB,,,ctb_lei,PRF no Sistema Nacional de Trânsito; competência de segurança e educação,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,70,CTB/lei correlata,CTB,,,ctb_lei,CONTRAN/DENATRAN; órgão máximo normativo/executivo,CTB,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,71,resolucao_contran,Resolução CONTRAN 432/2013,,432/2013,alcool_substancia_psicoativa,Fiscalização de álcool; sinais de alteração; etilômetro inservível; AIT,Resolução CONTRAN 432/2013,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,72,resolucao_contran,Resolução CONTRAN 277/2008,,,transporte_criancas,Transporte de crianças em automóvel; banco dianteiro/traseiro; cinto,Resolução CONTRAN 819/2021,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,73,resolucao_contran,Resolução CONTRAN 254/2007,Resolução CONTRAN 253/2007,254/2007,vidros_transmitancia,Película no para-brisa; transmitância luminosa; medidor aprovado,Resolução CONTRAN 960/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,74,resolucao_contran,Resolução CONTRAN 396/2011,,798/2020,medidores_velocidade,Medidor fixo e portátil; distância mínima; trecho em curva,Resolução CONTRAN 798/2020,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,75,resolucao_contran,Resolução CONTRAN 396/2011,,798/2020,medidores_velocidade,Instalação de equipamento fixo; estudos técnicos; autorização DNIT,Resolução CONTRAN 798/2020,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,76,resolucao_contran,Resolução CONTRAN 349/2010,,349/2010,transporte_bicicletas_carga_externa,Transporte de bicicleta em compartimento de carga aberto,Resolução CONTRAN 955/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,77,resolucao_contran,Resolução CONTRAN 349/2010,,349/2010,transporte_bicicletas_carga_externa,Bicicletas em dispositivo traseiro; balanço traseiro; distância entre eixos,Resolução CONTRAN 955/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,78,resolucao_contran,Resolução CONTRAN 349/2010,,349/2010,transporte_bicicletas_carga_externa,Bicicletas no teto; altura máxima do conjunto,Resolução CONTRAN 955/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,79,resolucao_contran,Resolução CONTRAN 525/2015,,525/2015,tempo_direcao_descanso,Tempo máximo ininterrupto de direção; veículo cegonha,Resolução CONTRAN 525/2015,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,80,resolucao_contran,Resolução CONTRAN 92/1998-1999,Resolução CONTRAN 525/2015,92/1998,cronotacografo,Cronotacógrafo com disco-diagrama sem leitura; defeito no registrador; fiscalização por ficha,Resolução CONTRAN 938/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,81,resolucao_contran,Resolução CONTRAN 735/2018,,735/2018,ctv_ctvp_aet_restricao_trafego,Veículo cegonha/CTV; AET; restrição de tráfego; horário/local,"Resolução CONTRAN 735/2018, verificar vigência/alterações",alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,82,resolucao_contran,Resolução CONTRAN 552/2015,,552/2015,amarracao_cargas,Carroceria aberta; tensionamento dos dispositivos de amarração; guardas laterais,Resolução CONTRAN 945/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,83,resolucao_contran,Resolução CONTRAN 552/2015,,552/2015,amarracao_cargas,Transporte de tubos na horizontal; painel frontal; deslizamento longitudinal,Resolução CONTRAN 945/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,84,resolucao_contran,Resolução CONTRAN 552/2015,,552/2015,amarracao_cargas,Baú frigorífico e baú lonado; pontos internos de amarração,Resolução CONTRAN 945/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,85,resolucao_contran,Resolução CONTRAN 356/2010,,,motofrete_mototaxi,Motofrete; transporte de galões de água mineral em motocicleta,Resolução CONTRAN 943/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,86,resolucao_contran,Resolução CONTRAN 453/2013,,453/2013,capacete_motocicletas_quadriciclos,Viseira do capacete levantada com motocicleta parada em semáforo,Resolução CONTRAN 940/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,87,resolucao_contran,Resolução CONTRAN 453/2013,,453/2013,capacete_motocicletas_quadriciclos,Uso de capacete por condutor de quadriciclo; via federal,Resolução CONTRAN 940/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,88,resolucao_contran,Resolução CONTRAN 619/2016,,619/2016,notificacao_autuacao_penalidade,AIT assinado; prazo para defesa da autuação; dispensa de notificação de autuação,Resolução CONTRAN 918/2022,alta,
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,89,CTB/lei correlata,CTB art. 320 / arrecadação e destinação de multas,,,receita_multas,Receitas oriundas das multas aplicadas pela PRF; repasse ao DNIT,CTB e normas de arrecadação; não vincular automaticamente à Res. 619/2016,média,"O item está sob comando amplo de CTB e resoluções, mas a base primária é receita/destinação de multa; não usar como contagem direta de Res. 619 sem revisão."
prf_2019_objetiva,2019,PRF 2019 - prova objetiva do concurso público - Edital 2018,primeira_etapa_objetiva,90,resolucao_contran,Resolução CONTRAN 723/2018,,723/2018,suspensao_direito_dirigir,Suspensão do direito de dirigir; órgão competente para aplicar penalidade; processo,"Resolução CONTRAN 723/2018, verificar alterações",alta,
