target_key,organ,number,year,title,official_url,status
882/2021,CONTRAN,882,2021,Limites de pesos e dimensões para veículos que transitem por vias terrestres,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao8822021.pdf,current
909/2022,CONTRAN,909,2022,Fiscalização de trânsito por sistemas de videomonitoramento,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucao-contran-no-909-de-28-de-marco-de-2022,current
911/2022,CONTRAN,911,2022,"Permissão para trânsito de veículos novos antes do registro/licenciamento, veículos usados incompletos antes da transferência e remonta de veículos novos",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9112022.pdf,current
916/2022,CONTRAN,916,2022,Concessão de código de marca/modelo/versão e permissão de modificações em veículos,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9162022.pdf,current
918/2022,CONTRAN,918,2022,"Procedimentos para aplicação das multas por infrações, arrecadação e repasse dos valores arrecadados",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9182022.pdf,current
938/2022,CONTRAN,938,2022,Requisitos técnicos mínimos do registrador instantâneo e inalterável de velocidade e tempo — cronotacógrafo,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9382022.pdf,current
940/2022,CONTRAN,940,2022,"Uso de capacete de segurança para motocicleta, motoneta, ciclomotor, triciclo motorizado e quadriciclo motorizado",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9402022.pdf,current
945/2022,CONTRAN,945,2022,Requisitos mínimos de segurança para amarração das cargas transportadas em veículos de carga,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9452022.pdf,current
946/2022,CONTRAN,946,2022,Transporte de cargas de sólidos a granel,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9462022.pdf,current
955/2022,CONTRAN,955,2022,"Transporte de cargas ou bicicletas nas partes externas de automóvel, caminhonete, camioneta e utilitário",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9552022.pdf,current
960/2022,CONTRAN,960,2022,"Requisitos de segurança de vidros, visibilidade, vidros em veículos blindados e medidores de transmitância luminosa",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9602022.pdf,current
968/2022,CONTRAN,968,2022,Critério de identificação de veículos — art. 114 do CTB,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao9682022.pdf,current
969/2022,CONTRAN,969,2022,Sistema de Placas de Identificação de Veículos — PIV,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao9692022.pdf,current
970/2022,CONTRAN,970,2022,"Características e especificações técnicas dos sistemas de sinalização, iluminação e lanternas especiais em veículos",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/resolucao9702022.pdf,current
973/2022,CONTRAN,973,2022,Regulamento de Sinalização Viária,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9732022.pdf,current
985/2022,CONTRAN,985,2022,Manual Brasileiro de Fiscalização de Trânsito — MBFT,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9852022.pdf,current
1.004/2023,CONTRAN,1.004,2023,Plano Nacional de Redução de Mortes e Lesões no Trânsito — PNATRANS,https://www.gov.br/transportes/pt-br/assuntos/transito/pnatrans/05_Resolucao10042023.pdf,current
993/2023,CONTRAN,993,2023,Equipamentos obrigatórios para a frota de veículos em circulação e índice de regulamentações de segurança veicular,https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao9932023.pdf,current
1.014/2025,CONTRAN,1.014,2025,Calendário de Campanhas Educativas de Trânsito 2026 — manutenção da mensagem e cronograma,https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/calendario-de-campanhas-educativas-de-transito-2026,current
1.020/2025,CONTRAN,1.020,2025,"Aprendizagem, habilitação, expedição de documentos de condutores e processo de formação do candidato",https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-contran/resolucoes/Resolucao10202025.pdf,current
